ban1,ban2,ban3,ban4,ban5,champion,league,player,position,side,split,team,url,week,a,airdrakes,ckpm,csat10,csat15,csdat10,csdat15,cspm,d,date,dmgshare,dmgtochamps,dmgtochampsperminute,doubles,earnedgoldshare,earnedgpm,earthdrakes,elders,elementals,fb,fbaron,fbarontime,fbassist,fbtime,fbvictim,fd,fdtime,firedrakes,firstmidouter,firsttothreetowers,ft,fttime,game,gameid,gamelength,gdat10,gdat15,goldat10,goldat15,goldspent,gspd,heraldkills,invisiblewardclearrate,k,kpm,minionkills,monsterkills,monsterkillsenemyjungle,monsterkillsownjungle,okpm,oppbaronkills,oppcsat10,oppcsat15,oppdragkills,oppelders,oppelementals,oppgoldat10,oppgoldat15,oppheraldkills,opptowerkills,oppxpat10,patchno,pentas,playerid,quadras,result,teambaronkills,teamdeaths,teamdragkills,teamkills,teamtowerkills,totalgold,triples,visiblewardclearrate,visionwardbuys,visionwards,wardkills,wards,wardshare,waterdrakes,wcpm,wpm,xpat10,xpdat10
Renekton,Pyke,Qiyana,Galio,Corki,,WC,Team,Team,Blue,2019-W,Isurus Gaming,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070985?gameHash=9e3f5534655e9c51,PI-KO,17,0,"0,575466936",316,504,20,43,"36,436143362",5,"43746,277870370",,47350,"1434,124179707",,,"1319,812216052",2,0,5,1,1,"26,681483333",0,"6,431133333",0,1,"9,5024",3,1,1,1,"15,239966667",2,1070985,"33,016666667",-902,1371,15260,25219,57675,"0,120911247",1,"0,405405405",14,"0,424028269",961,242,33,122,"0,151438667",0,296,461,0,0,0,16162,23848,0,1,18451,"9,19",,100,,1,1,5,5,14,10,65160,,"0,789473684",48,45,60,118,1,0,"1,817264008","3,573952549",18140,-311
Pantheon,Gragas,Syndra,Quinn,Tristana,,WC,Team,Team,Red,2019-W,Hong Kong Attitude,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070985?gameHash=9e3f5534655e9c51,PI-KO,11,0,"0,575466936",296,461,-20,-43,"31,680969207",14,"43746,277870370",,46054,"1394,871277133",,,"1008,181726401",0,0,0,0,0,"26,681483333",0,"6,431133333",1,0,"9,5024",0,0,0,0,"15,239966667",2,1070985,"33,016666667",902,-1371,16162,23848,51099,"-0,120911247",0,"0,268292683",5,"0,151438667",900,146,7,120,"0,424028269",1,316,504,5,0,5,15260,25219,1,10,18140,"9,19",,200,,0,0,14,0,5,1,54871,,"0,478260870",34,31,48,112,1,0,"1,453811206","3,392226148",18451,311
Gragas,Tristana,Gangplank,Rek'Sai,Elise,Gnar,WC,3z,Top,Blue,2019-W,Hong Kong Attitude,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,6,0,"0,619578686",74,104,-20,-44,"6,964064436",1,"43746,315150463","0,145561228",13173,"326,468401487",1,"0,200904750","253,148946716",0,0,0,0,1,"27,6767",0,"7,907566667",1,0,"5,859233333",0,1,0,1,"13,142816667",3,1070986,"40,35",-752,-2332,3034,4431,13850,"-0,161484087",1,,3,"0,074349442",261,20,0,4,"0,148698885",0,94,148,2,0,0,3786,6763,0,5,4925,"9,19",0,1,0,1,2,12,5,13,10,15429,0,,8,7,7,18,"0,132352941",0,"0,173482032","0,446096654",4375,-550
Gragas,Tristana,Gangplank,Rek'Sai,Elise,Lee Sin,WC,Crash,Jungle,Blue,2019-W,Hong Kong Attitude,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,9,2,"0,619578686",55,81,-25,-35,"5,303593556",3,"43746,315150463","0,133273664",12061,"298,909541512",1,"0,185484670","233,718959108",1,1,4,0,1,"27,6767",0,"7,907566667",0,1,"5,859233333",1,1,0,1,"13,142816667",3,1070986,"40,35",-415,-407,3082,4734,11400,"-0,032362460",1,,3,"0,074349442",32,182,11,112,"0,024783147",0,80,116,2,0,1,3497,5141,0,5,4222,"9,19",0,2,0,1,2,12,5,13,10,14645,0,,11,10,12,18,"0,132352941",0,"0,297397770","0,446096654",3194,-1028
Gragas,Tristana,Gangplank,Rek'Sai,Elise,Corki,WC,M1ssion,Middle,Blue,2019-W,Hong Kong Attitude,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,10,0,"0,619578686",88,145,1,4,"8,996282528",3,"43746,315150463","0,329355345",29806,"738,686493185",0,"0,230958169","291,017596035",0,0,0,0,1,"27,6767",0,"7,907566667",0,0,"5,859233333",0,1,0,1,"13,142816667",3,1070986,"40,35",455,524,3717,5957,15858,"0,159901934",1,,0,0,325,38,6,32,"0,024783147",0,87,141,2,0,0,3262,5433,0,5,4674,"9,19",0,3,0,1,2,12,5,13,10,16957,0,,3,3,7,12,"0,088235294",0,"0,173482032","0,297397770",4942,268
Gragas,Tristana,Gangplank,Rek'Sai,Elise,Ezreal,WC,Unified,ADC,Blue,2019-W,Hong Kong Attitude,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,4,0,"0,619578686",99,134,9,-15,"8,872366791",3,"43746,315150463","0,333697982",30199,"748,426270136",1,"0,279244259","351,860223048",0,0,0,0,1,"27,6767",0,"7,907566667",0,0,"5,859233333",0,1,0,1,"13,142816667",3,1070986,"40,35",492,737,3760,5991,17275,"-0,077885953",1,,7,"0,173482032",321,37,9,25,"0,099132590",0,90,149,2,0,1,3268,5254,0,5,3132,"9,19",0,4,0,1,2,12,5,13,10,19412,0,,3,3,6,16,"0,117647059",0,"0,148698885","0,396530359",3211,79
Gragas,Tristana,Gangplank,Rek'Sai,Elise,Rakan,WC,Kaiwing,Support,Blue,2019-W,Hong Kong Attitude,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,13,0,"0,619578686",0,4,-2,-2,"0,545229244",2,"43746,315150463","0,058111781",5259,"130,334572491",0,"0,103408152","130,298884758",0,0,0,0,1,"27,6767",0,"7,907566667",0,0,"5,859233333",0,1,0,1,"13,142816667",3,1070986,"40,35",124,700,2172,3670,10280,"0,283810053",1,,0,0,22,0,0,0,0,0,2,6,2,0,0,2048,2970,0,5,3106,"9,19",0,5,0,1,2,12,5,13,10,10472,0,,17,16,16,72,"0,529411765",0,"0,396530359","1,784386617",2805,-301
Pantheon,Pyke,Syndra,Galio,Mordekaiser,Irelia,WC,Buggax,Top,Red,2019-W,Isurus Gaming,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,5,0,"0,619578686",94,148,20,44,"8,327137546",3,"43746,315150463","0,325425956",22786,"564,708798017",1,"0,273659477","296,147707559",0,0,0,1,0,"27,6767",0,"7,907566667",0,0,"5,859233333",0,0,1,0,"13,142816667",3,1070986,"40,35",752,2332,3786,6763,16283,"0,161484087",0,,6,"0,148698885",294,42,0,32,"0,074349442",2,74,104,5,0,0,3034,4431,1,10,4375,"9,19",0,6,0,0,0,13,2,12,5,17164,0,,6,3,3,13,"0,099236641",0,"0,074349442","0,322180917",4925,550
Pantheon,Pyke,Syndra,Galio,Mordekaiser,Nocturne,WC,Oddie,Jungle,Red,2019-W,Isurus Gaming,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,9,1,"0,619578686",80,116,25,35,"5,154894672",2,"43746,315150463","0,113840529",7971,"197,546468401",0,"0,154046416","166,705328377",0,0,1,0,0,"27,6767",0,"7,907566667",0,0,"5,859233333",0,0,1,0,"13,142816667",3,1070986,"40,35",415,407,3497,5141,11775,"0,032362460",0,,1,"0,024783147",43,165,25,98,"0,074349442",2,55,81,5,1,4,3082,4734,1,10,3194,"9,19",0,7,0,0,0,13,2,12,5,11941,0,,10,10,15,12,"0,091603053",0,"0,371747212","0,297397770",4222,1028
Pantheon,Pyke,Syndra,Galio,Mordekaiser,Akali,WC,Seiya,Middle,Red,2019-W,Isurus Gaming,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,6,0,"0,619578686",87,141,-1,-4,"8,029739777",2,"43746,315150463","0,178023108",12465,"308,921933086",0,"0,195085399","211,116728625",0,0,0,0,0,"27,6767",0,"7,907566667",0,0,"5,859233333",0,0,1,0,"13,142816667",3,1070986,"40,35",-455,-524,3262,5433,13510,"-0,159901934",0,,1,"0,024783147",306,18,2,13,0,2,88,145,5,0,0,3717,5957,1,10,4942,"9,19",0,8,0,0,0,13,2,12,5,13733,0,,7,6,9,14,"0,106870229",0,"0,223048327","0,346964064",4674,-268
Pantheon,Pyke,Syndra,Galio,Mordekaiser,Xayah,WC,Warangelus,ADC,Red,2019-W,Isurus Gaming,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,6,0,"0,619578686",90,149,-9,15,"10,755885998",2,"43746,315150463","0,313686285",21964,"544,337050805",1,"0,305446368","330,546716233",1,0,1,0,0,"27,6767",0,"7,907566667",0,0,"5,859233333",0,0,1,0,"13,142816667",3,1070986,"40,35",-492,-737,3268,5254,18675,"0,077885953",0,,4,"0,099132590",388,46,6,34,"0,173482032",2,99,134,5,0,0,3760,5991,1,10,3211,"9,19",0,9,0,0,0,13,2,12,5,18552,0,,5,5,7,12,"0,091603053",0,"0,173482032","0,297397770",3132,-79
Pantheon,Pyke,Syndra,Galio,Mordekaiser,Thresh,WC,Slow,Support,Red,2019-W,Isurus Gaming,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,8,0,"0,619578686",2,6,2,2,"0,495662949",4,"43746,315150463","0,069024122",4833,"119,776951673",0,"0,071762340","77,659479554",0,0,0,0,0,"27,6767",0,"7,907566667",0,0,"5,859233333",0,0,1,0,"13,142816667",3,1070986,"40,35",-124,-700,2048,2970,7725,"-0,283810053",0,,0,0,20,0,0,0,0,2,0,4,5,0,0,2172,3670,1,10,2805,"9,19",0,10,0,0,0,13,2,12,5,8348,0,,35,33,16,80,"0,610687023",0,"0,396530359","1,982651797",3106,301
Gragas,Tristana,Gangplank,Rek'Sai,Elise,,WC,Team,Team,Blue,2019-W,Hong Kong Attitude,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,42,2,"0,619578686",316,468,-37,-92,"30,681536555",12,"43746,315150463",,90498,"2242,825278810",,,"1260,044609665",1,1,4,0,1,"27,6767",0,"7,907566667",1,1,"5,859233333",1,1,0,1,"13,142816667",3,1070986,"40,35",-96,-778,15765,24783,68663,"0,010173387",1,"0,242857143",13,"0,322180917",961,277,26,173,"0,297397770",0,353,560,2,0,2,15861,25561,0,5,20059,"9,19",,100,,1,2,12,5,13,10,76915,,"0,508196721",42,39,48,136,1,0,"1,189591078","3,370508055",18527,-1532
Pantheon,Pyke,Syndra,Galio,Mordekaiser,,WC,Team,Team,Red,2019-W,Isurus Gaming,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070986?gameHash=1787d1ea36a382c3&tab=overview,PI-KO,34,1,"0,619578686",353,560,37,92,"32,763320942",13,"43746,315150463",,70019,"1735,291201983",,,"1082,175960347",1,0,2,1,0,"27,6767",0,"7,907566667",0,0,"5,859233333",0,0,1,0,"13,142816667",3,1070986,"40,35",96,778,15861,25561,67968,"-0,010173387",0,"0,314606742",12,"0,297397770",1051,271,33,177,"0,322180917",2,316,468,5,1,4,15765,24783,1,10,18527,"9,19",,200,,0,0,13,2,12,5,69738,,"0,468085106",63,57,50,131,1,0,"1,239157373","3,246592317",20059,1532
Pyke,Ezreal,Qiyana,Vladimir,Lee Sin,Gangplank,WC,Buggax,Top,Blue,2019-W,Isurus Gaming,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070996?gameHash=997c81ff2a1f4f9d,PI-KO,1,0,"0,354223433",65,95,-23,-30,"8,174386921",2,"43746,357280093","0,401990117",17735,"483,242506812",1,"0,296762999","316,902452316",0,0,0,0,0,"30,430816667",0,"7,724166667",0,0,"8,573483333",0,0,0,0,"12,3797",4,1070996,"36,7",-415,-223,2928,4877,15858,"0,168022421",0,,5,"0,136239782",283,17,0,9,"0,027247956",1,88,125,3,0,0,3343,5100,1,10,4795,"9,19",0,1,0,0,0,6,3,7,3,16398,0,,4,4,1,14,"0,110236220",0,"0,027247956","0,381471390",4552,-243
Pyke,Ezreal,Qiyana,Vladimir,Lee Sin,Skarner,WC,Oddie,Jungle,Blue,2019-W,Isurus Gaming,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070996?gameHash=997c81ff2a1f4f9d,PI-KO,4,1,"0,354223433",61,82,-4,-7,"4,414168937",1,"43746,357280093","0,060814180",2683,"73,106267030",0,"0,134887448","144,041416894",0,1,2,0,0,"30,430816667",0,"7,724166667",1,0,"8,573483333",1,0,0,0,"12,3797",4,1070996,"36,7",-616,-1272,3154,4511,9275,"-0,256169213",0,,0,0,22,140,16,91,"0,054495913",1,65,89,3,0,3,3770,5783,1,10,3526,"9,19",0,2,0,0,0,6,3,7,3,10054,0,,9,8,14,28,"0,220472441",0,"0,381471390","0,762942779",3426,-100
Pyke,Ezreal,Qiyana,Vladimir,Lee Sin,Corki,WC,Seiya,Middle,Blue,2019-W,Isurus Gaming,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070996?gameHash=997c81ff2a1f4f9d,PI-KO,2,0,"0,354223433",84,157,-8,-3,"9,155313351",0,"43746,357280093","0,221632894",9778,"266,430517711",0,"0,236493445","252,542779292",0,0,0,0,0,"30,430816667",0,"7,724166667",0,0,"8,573483333",0,0,0,0,"12,3797",4,1070996,"36,7",-176,-296,3223,5752,14108,"-0,108403446",0,,1,"0,027247956",308,28,0,28,"0,027247956",1,92,160,3,0,0,3399,6048,1,10,4756,"9,19",0,3,0,0,0,6,3,7,3,14036,0,,7,5,8,16,"0,125984252",0,"0,217983651","0,435967302",4694,-62
Pyke,Ezreal,Qiyana,Vladimir,Lee Sin,Xayah,WC,Warangelus,ADC,Blue,2019-W,Isurus Gaming,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070996?gameHash=997c81ff2a1f4f9d,PI-KO,3,0,"0,354223433",89,140,7,12,"9,863760218",1,"43746,357280093","0,243438052",10740,"292,643051771",0,"0,237258935","253,360217984",0,0,0,0,0,"30,430816667",0,"7,724166667",0,0,"8,573483333",0,0,0,0,"12,3797",4,1070996,"36,7",-613,-1342,3271,4909,12725,"-0,114814815",0,,1,"0,027247956",338,24,0,24,"0,054495913",1,82,128,3,0,0,3884,6251,1,10,3756,"9,19",0,4,0,0,0,6,3,7,3,14066,0,,5,5,14,9,"0,070866142",0,"0,381471390","0,245231608",3543,-213
