ban1,ban2,ban3,ban4,ban5,champion,league,player,position,side,split,team,url,week,a,airdrakes,ckpm,csat10,csat15,csdat10,csdat15,cspm,d,date,dmgshare,dmgtochamps,dmgtochampsperminute,doubles,earnedgoldshare,earnedgpm,earthdrakes,elders,elementals,fb,fbaron,fbarontime,fbassist,fbtime,fbvictim,fd,fdtime,firedrakes,firstmidouter,firsttothreetowers,ft,fttime,game,gameid,gamelength,gdat10,gdat15,goldat10,goldat15,goldspent,gspd,heraldkills,invisiblewardclearrate,k,kpm,minionkills,monsterkills,monsterkillsenemyjungle,monsterkillsownjungle,okpm,oppbaronkills,oppcsat10,oppcsat15,oppdragkills,oppelders,oppelementals,oppgoldat10,oppgoldat15,oppheraldkills,opptowerkills,oppxpat10,patchno,pentas,playerid,quadras,result,teambaronkills,teamdeaths,teamdragkills,teamkills,teamtowerkills,totalgold,triples,visiblewardclearrate,visionwardbuys,visionwards,wardkills,wards,wardshare,waterdrakes,wcpm,wpm,xpat10,xpdat10
Qiyana,Gangplank,Akali,Elise,Olaf,Gnar,WC,Evi,Top,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,4,0,"1,092964824",76,116,-14,-6,"7,085427136",4,"43740,286145833","0,312067433",11588,"436,733668342",0,"0,206844383","184,059798995",0,0,0,0,0,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",-362,-798,3078,4670,8300,"-0,151447661",0,,0,0,180,8,1,4,"0,037688442",1,90,122,2,0,0,3440,5468,1,10,5051,"9,19",0,1,0,0,0,22,1,7,1,8407,0,,6,4,4,11,"0,105769231",0,"0,150753769","0,414572864",4530,-521
Qiyana,Gangplank,Akali,Elise,Olaf,Ekko,WC,Steal,Jungle,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,5,1,"1,092964824",60,88,-4,-17,"4,937185930",4,"43740,286145833","0,213422024",7925,"298,680904523",0,"0,166862341","148,481909548",0,0,1,0,0,"23,779816667",0,"3,879983333",0,1,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",-371,-1366,3684,4912,7360,"-0,296789124",0,,1,"0,037688442",35,96,0,76,"0,263819095",1,64,105,2,0,2,4055,6278,1,10,3928,"9,19",0,2,0,0,0,22,1,7,1,7463,0,,13,11,8,24,"0,230769231",0,"0,301507538","0,904522613",3679,-249
Qiyana,Gangplank,Akali,Elise,Olaf,Nocturne,WC,Ceros,Middle,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,6,0,"1,092964824",88,131,3,-19,"7,236180905",5,"43740,286145833","0,203511701",7557,"284,811557789",0,"0,210105631","186,961809045",0,0,0,0,0,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",357,-629,3926,5487,7700,"-0,281729428",0,,1,"0,037688442",186,6,0,4,"0,113065327",1,85,150,2,0,0,3569,6116,1,10,4533,"9,19",0,3,0,0,0,22,1,7,1,8484,0,,7,6,1,13,"0,125",0,"0,037688442","0,489949749",4751,218
Qiyana,Gangplank,Akali,Elise,Olaf,Lucian,WC,Yutapon,ADC,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,1,0,"1,092964824",87,119,11,-15,"9,007537688",4,"43740,286145833","0,198448819",7369,"277,726130653",1,"0,300742887","267,615075377",0,0,0,0,0,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",-390,-1829,3579,5313,10150,"-0,215384615",0,,3,"0,113065327",219,20,0,20,"0,414572864",1,76,134,2,0,0,3969,7142,1,10,3532,"9,19",0,4,0,0,0,22,1,7,1,10624,0,,4,3,7,9,"0,086538462",0,"0,263819095","0,339195980",3526,-6
Qiyana,Gangplank,Akali,Elise,Olaf,Thresh,WC,Gaeng,Support,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,2,0,"1,092964824",4,6,1,1,"0,527638191",5,"43740,286145833","0,072550023",2694,"101,532663317",0,"0,115444758","102,728140704",0,0,0,0,0,"23,779816667",0,"3,879983333",1,0,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",-306,-1156,2088,3163,5450,"-0,296875",0,,2,"0,075376884",12,2,0,2,0,1,3,5,2,0,0,2394,4319,1,10,2376,"9,19",0,5,0,0,0,22,1,7,1,6249,0,,14,13,8,47,"0,451923077",0,"0,301507538","1,771356784",2731,355
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,Kennen,WC,Vizicsacsi,Top,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,12,0,"1,092964824",90,122,14,6,"6,859296482",1,"43740,286145833","0,243147924",14478,"545,653266332",0,"0,159670811","235,014572864",0,0,0,0,1,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",362,798,3440,5468,9660,"0,151447661",1,,1,"0,037688442",182,0,0,0,0,0,76,116,1,0,0,3078,4670,0,1,4530,"9,19",0,6,0,1,1,7,2,22,10,9759,0,,9,7,8,15,"0,1875",0,"0,301507538","0,565326633",5051,521
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,Hecarim,WC,Xerxe,Jungle,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,6,1,"1,092964824",64,105,4,17,"5,502512563",1,"43740,286145833","0,130693269",7782,"293,291457286",1,"0,199871971","294,185427136",0,0,2,1,1,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",371,1366,4055,6278,9925,"0,296789124",1,,7,"0,263819095",18,128,12,78,"0,037688442",0,60,88,1,0,1,3684,4912,0,1,3679,"9,19",0,7,0,1,1,7,2,22,10,11329,0,,10,8,7,9,"0,1125",1,"0,263819095","0,339195980",3928,249
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,Ryze,WC,Humanoid,Middle,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,10,0,"1,092964824",85,150,-3,19,"10,025125628",2,"43740,286145833","0,212750235",12668,"477,437185930",0,"0,215721982","317,514572864",0,0,0,0,1,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",-357,629,3569,6116,10225,"0,281729428",1,,3,"0,113065327",222,44,11,24,"0,037688442",0,88,131,1,0,0,3926,5487,0,1,4751,"9,19",0,8,0,1,1,7,2,22,10,11948,0,,7,6,12,15,"0,1875",0,"0,452261307","0,565326633",4533,-218
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,Xayah,WC,Kobbe,ADC,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,5,0,"1,092964824",76,134,-11,15,"10,138190955",0,"43740,286145833","0,350984146",20899,"787,650753769",3,"0,300989409","443,017085427",0,0,0,0,1,"23,779816667",1,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",390,1829,3969,7142,12600,"0,215384615",1,,11,"0,414572864",253,16,0,12,"0,113065327",0,87,119,1,0,0,3579,5313,0,1,3526,"9,19",0,9,0,1,1,7,2,22,10,15278,0,,4,3,11,11,"0,1375",0,"0,414572864","0,414572864",3532,6
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,Rakan,WC,Norskeren,Support,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,18,0,"1,092964824",3,5,-1,-1,"0,489949749",3,"43740,286145833","0,062424426",3717,"140,087939698",0,"0,123745826","182,137688442",0,0,0,0,1,"23,779816667",1,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",306,1156,2394,4319,7350,"0,296875",1,,0,0,13,0,0,0,"0,075376884",0,4,6,1,0,0,2088,3163,0,1,2731,"9,19",0,10,0,1,1,7,2,22,10,8356,0,,11,11,13,30,"0,375",0,"0,489949749","1,130653266",2376,-355
Qiyana,Gangplank,Akali,Elise,Olaf,,WC,Team,Team,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,18,1,"1,092964824",315,460,-3,-56,"28,793969849",22,"43740,286145833",,37133,"1399,484924623",,,"889,846733668",0,0,1,0,0,"23,779816667",0,"3,879983333",1,1,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",-1072,-5778,16355,23545,38960,"-0,243462579",0,"0,268292683",7,"0,263819095",632,132,1,106,"0,829145729",1,318,516,2,0,2,17427,29323,1,10,19420,"9,19",,100,,0,0,22,1,7,1,41227,,"0,435897436",44,37,28,104,1,0,"1,055276382","3,919597990",19217,-203
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,,WC,Team,Team,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,51,1,"1,092964824",318,516,3,56,"33,015075377",7,"43740,286145833",,59544,"2244,120603015",,,"1471,869346734",0,0,2,1,1,"23,779816667",1,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",1072,5778,17427,29323,49760,"0,243462579",1,"0,280701754",22,"0,829145729",688,188,23,114,"0,263819095",0,315,460,1,0,1,16355,23545,0,1,19217,"9,19",,200,,1,1,7,2,22,10,56670,,"0,710526316",41,35,51,80,1,1,"1,922110553","3,015075377",19420,203
Syndra,Yuumi,Qiyana,Caitlyn,Draven,Akali,WC,Huni,Top,Blue,2019-W,Clutch Gaming,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,4,0,"0,630472855",85,121,17,11,"8,012259194",5,"43740,223888889","0,288577116",14933,"392,285464098",0,"0,259663884","253,923992995",0,0,0,0,0,"22,9774",1,"7,924383333",0,0,"17,121616667",0,0,0,0,"13,696416667",1,1070330,"38,066666667",543,-734,3438,4816,13600,"-0,005499542",1,,3,"0,078809107",300,5,0,1,"0,052539405",2,68,110,4,0,0,2895,5550,0,11,4347,"9,19",0,1,0,0,0,16,0,8,3,14601,0,,2,2,8,8,"0,058823529",0,"0,210157618","0,210157618",4668,321
Syndra,Yuumi,Qiyana,Caitlyn,Draven,Ekko,WC,Lira,Jungle,Blue,2019-W,Clutch Gaming,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,6,0,"0,630472855",47,75,-16,-14,"5,253940455",5,"43740,223888889","0,209751290",10854,"285,131348511",0,"0,180309038","176,323292469",0,0,0,1,0,"22,9774",0,"7,924383333",0,0,"17,121616667",0,0,0,0,"13,696416667",1,1070330,"38,066666667",-543,-541,3210,4663,11325,"-0,084566596",1,,1,"0,026269702",66,134,9,97,"0,078809107",2,63,89,4,0,3,3753,5204,0,11,4078,"9,19",0,2,0,0,0,16,0,8,3,11647,0,,17,15,20,43,"0,316176471",0,"0,525394046","1,129597198",3130,-948
Syndra,Yuumi,Qiyana,Caitlyn,Draven,Renekton,WC,Damonte,Middle,Blue,2019-W,Clutch Gaming,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,1,0,"0,630472855",75,126,-11,-14,"7,171628722",3,"43740,223888889","0,099020233",5124,"134,605954466",0,"0,182377529","178,346059545",0,0,0,0,0,"22,9774",0,"7,924383333",0,0,"17,121616667",0,0,0,0,"13,696416667",1,1070330,"38,066666667",-717,-586,3016,5064,11325,"-0,359884142",1,,1,"0,026269702",266,7,0,6,"0,131348511",2,86,140,4,0,1,3733,5650,0,11,4842,"9,19",0,3,0,0,0,16,0,8,3,11724,0,,13,13,6,25,"0,183823529",0,"0,157618214","0,656742557",4239,-603
Syndra,Yuumi,Qiyana,Caitlyn,Draven,Xayah,WC,Cody Sun,ADC,Blue,2019-W,Clutch Gaming,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,2,0,"0,630472855",88,120,23,15,"10,481611208",1,"43740,223888889","0,295476066",15290,"401,663747811",1,"0,316211599","309,221716287",0,0,0,0,0,"22,9774",0,"7,924383333",0,0,"17,121616667",0,0,0,0,"13,696416667",1,1070330,"38,066666667",484,7,3524,4852,15100,"0,115586690",1,,3,"0,078809107",375,24,0,24,"0,131348511",2,65,105,4,0,0,3040,4845,0,11,3284,"9,19",0,4,0,0,0,16,0,8,3,16706,0,,6,6,8,13,"0,095588235",0,"0,210157618","0,341506130",3287,3
Syndra,Yuumi,Qiyana,Caitlyn,Draven,Rakan,WC,Vulcan,Support,Blue,2019-W,Clutch Gaming,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,4,0,"0,630472855",0,2,-7,-7,"0,394045534",2,"43740,223888889","0,107175295",5546,"145,691768827",0,"0,061437951","60,079859895",0,0,0,0,0,"22,9774",0,"7,924383333",0,0,"17,121616667",0,0,0,0,"13,696416667",1,1070330,"38,066666667",3,-74,1898,2841,7450,"-0,107936508",1,,0,0,15,0,0,0,"0,026269702",2,7,9,4,0,0,1895,2915,0,11,2867,"9,19",0,5,0,0,0,16,0,8,3,7222,0,,20,18,12,47,"0,345588235",0,"0,315236427","1,234676007",2547,-320
Pantheon,Rumble,Gangplank,Skarner,Elise,Neeko,WC,BOSS,Top,Red,2019-W,Unicorns of Love,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,11,0,"0,630472855",68,110,-17,-11,"6,383537653",2,"43740,223888889","0,180039617",13270,"348,598949212",0,"0,215563069","248,880210158",0,0,0,0,1,"22,9774",0,"7,924383333",1,0,"17,121616667",0,1,1,1,"13,696416667",1,1070330,"38,066666667",-543,734,2895,5550,13675,"0,005499542",0,,2,"0,052539405",232,11,3,3,"0,078809107",0,85,121,0,0,0,3438,4816,1,3,4668,"9,19",0,6,0,1,2,8,4,16,11,14409,0,,7,7,5,22,"0,162962963",0,"0,131348511","0,577933450",4347,-321
Pantheon,Rumble,Gangplank,Skarner,Elise,Rek'Sai,WC,AHaHaCiK,Jungle,Red,2019-W,Unicorns of Love,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,4,2,"0,630472855",63,89,16,14,"5,359019264",2,"43740,223888889","0,150801834",11115,"291,987740806",0,"0,187099035","216,016812609",1,0,3,0,1,"22,9774",0,"7,924383333",0,1,"17,121616667",0,1,1,1,"13,696416667",1,1070330,"38,066666667",543,541,3753,5204,12325,"0,084566596",0,,3,"0,078809107",39,165,35,71,"0,026269702",0,47,75,0,0,0,3210,4663,1,3,3130,"9,19",0,7,0,1,2,8,4,16,11,13158,0,,9,9,22,33,"0,244444444",0,"0,577933450","0,866900175",4078,948
Pantheon,Rumble,Gangplank,Skarner,Elise,Tristana,WC,Nomanz,Middle,Red,2019-W,Unicorns of Love,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,6,0,"0,630472855",86,140,11,14,"8,852889667",1,"43740,223888889","0,325088867",23961,"629,448336252",1,"0,274629922","317,076357268",0,0,1,0,1,"22,9774",0,"7,924383333",0,0,"17,121616667",1,1,1,1,"13,696416667",1,1070330,"38,066666667",717,586,3733,5650,16295,"0,359884142",0,,5,"0,131348511",313,24,0,17,"0,026269702",0,75,126,0,0,0,3016,5064,1,3,4239,"9,19",0,8,0,1,2,8,4,16,11,17005,0,,3,3,20,13,"0,096296296",0,"0,525394046","0,341506130",4842,603
Pantheon,Rumble,Gangplank,Skarner,Elise,Heimerdinger,WC,Innaxe,ADC,Red,2019-W,Unicorns of Love,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,4,0,"0,630472855",65,105,-23,-15,"7,066549912",0,"43740,223888889","0,272325184",20072,"527,285464098",1,"0,222320718","256,682311734",0,0,0,0,1,"22,9774",0,"7,924383333",0,0,"17,121616667",0,1,1,1,"13,696416667",1,1070330,"38,066666667",-484,-7,3040,4845,13450,"-0,115586690",0,,5,"0,131348511",249,20,4,12,"0,078809107",0,88,120,0,0,0,3524,4852,1,3,3287,"9,19",0,9,0,1,2,8,4,16,11,14706,0,,0,0,5,11,"0,081481481",0,"0,131348511","0,288966725",3284,-3
Pantheon,Rumble,Gangplank,Skarner,Elise,Morgana,WC,Edward,Support,Red,2019-W,Unicorns of Love,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,9,0,"0,630472855",7,9,7,7,"0,525394046",3,"43740,223888889","0,071744498",5288,"138,914185639",0,"0,100387256","115,902977233",0,0,0,0,1,"22,9774",0,"7,924383333",0,0,"17,121616667",0,1,1,1,"13,696416667",1,1070330,"38,066666667",-3,74,1895,2915,8300,"0,107936508",0,,1,"0,026269702",20,0,0,0,0,0,0,2,0,0,0,1898,2841,1,3,2547,"9,19",0,10,0,1,2,8,4,16,11,9347,0,,16,16,10,56,"0,414814815",0,"0,262697023","1,471103327",2867,320
Syndra,Yuumi,Qiyana,Caitlyn,Draven,,WC,Team,Team,Blue,2019-W,Clutch Gaming,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,17,0,"0,630472855",295,444,6,-9,"31,313485114",16,"43740,223888889",,51747,"1359,378283713",,,"977,894921191",0,0,0,1,0,"22,9774",1,"7,924383333",0,0,"17,121616667",0,0,0,0,"13,696416667",1,1070330,"38,066666667",-230,-1928,15086,22236,58800,"-0,085392161",1,"0,287878788",8,"0,210157618",1022,170,9,128,"0,420315236",2,289,453,4,0,4,15316,24164,0,11,19418,"9,19",,100,,0,0,16,0,8,3,61900,,"0,555555556",58,54,54,136,1,0,"1,418563923","3,572679510",17871,-1547
Pantheon,Rumble,Gangplank,Skarner,Elise,,WC,Team,Team,Red,2019-W,Unicorns of Love,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,PI-RR,34,2,"0,630472855",289,453,-6,9,"28,187390543",8,"43740,223888889",,73706,"1936,234676007",,,"1154,558669002",1,0,4,0,1,"22,9774",0,"7,924383333",1,1,"17,121616667",1,1,1,1,"13,696416667",1,1070330,"38,066666667",230,1928,15316,24164,64045,"0,085392161",0,"0,212765957",16,"0,420315236",853,220,42,103,"0,210157618",0,295,444,0,0,0,15086,22236,1,3,17871,"9,19",,200,,1,2,8,4,16,11,68625,,"0,580645161",35,35,62,135,1,0,"1,628721541","3,546409807",19418,1547
Qiyana,Kayle,Morgana,Thresh,Pyke,Gangplank,WC,Fudge,Top,Blue,2019-W,Mammoth,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070349?gameHash=17abccc071825cfb&tab=overview,PI-RR,14,0,"0,691796009",75,120,4,1,"8,141906874",2,"43740,329710648","0,243013854",17523,"466,243902439",0,"0,231465652","275,233702882",0,0,0,0,1,"27,446516667",0,"3,360983333",1,0,"8,318133333",0,1,1,1,"17,613883333",1,1070349,"37,583333333",-75,-73,3242,5287,12958,"-0,014708135",1,,1,"0,026607539",300,6,0,3,"0,079822616",0,71,119,0,0,0,3317,5360,0,2,4151,"9,19",0,1,0,1,1,8,4,18,9,15220,0,,7,7,3,17,"0,147826087",0,"0,079822616","0,452328160",4293,142
Qiyana,Kayle,Morgana,Thresh,Pyke,Skarner,WC,Babip,Jungle,Blue,2019-W,Mammoth,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070349?gameHash=17abccc071825cfb&tab=overview,PI-RR,16,0,"0,691796009",58,84,3,16,"4,390243902",1,"43740,329710648","0,072350812",5217,"138,811529933",0,"0,134844484","160,342350333",1,0,3,0,1,"27,446516667",0,"3,360983333",0,1,"8,318133333",0,1,1,1,"17,613883333",1,1070349,"37,583333333",-474,-366,2987,4467,9925,"0,035897436",1,,0,0,26,139,4,98,"0,053215078",0,55,68,0,0,0,3461,4833,0,2,3325,"9,19",0,2,0,1,1,8,4,18,9,10902,0,,13,12,17,13,"0,113043478",2,"0,452328160","0,345898004",3171,-154
Qiyana,Kayle,Morgana,Thresh,Pyke,Syndra,WC,Triple,Middle,Blue,2019-W,Mammoth,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070349?gameHash=17abccc071825cfb&tab=overview,PI-RR,4,0,"0,691796009",95,156,6,5,"8,115299335",3,"43740,329710648","0,301191285",21718,"577,862527716",1,"0,255274111","303,544124169",0,0,1,0,1,"27,446516667",0,"3,360983333",0,0,"8,318133333",1,1,1,1,"17,613883333",1,1070349,"37,583333333",367,-211,3717,5634,14350,"0,029487678",1,,10,"0,266075388",273,32,0,28,"0,053215078",0,89,151,0,0,0,3350,5845,0,2,4593,"9,19",0,3,0,1,1,8,4,18,9,16284,1,,12,12,12,18,"0,156521739",0,"0,319290466","0,478935698",4797,204
Qiyana,Kayle,Morgana,Thresh,Pyke,Tristana,WC,k1ng,ADC,Blue,2019-W,Mammoth,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070349?gameHash=17abccc071825cfb&tab=overview,PI-RR,5,0,"0,691796009",93,151,9,17,"9,871396896",2,"43740,329710648","0,306308680",22087,"587,680709534",3,"0,274517789","326,426607539",0,0,0,0,1,"27,446516667",0,"3,360983333",0,0,"8,318133333",0,1,1,1,"17,613883333",1,1070349,"37,583333333",116,504,3309,5454,14575,"0,006884682",1,,7,"0,186252772",315,56,9,29,"0,026607539",0,84,134,0,0,0,3193,4950,0,2,3050,"9,19",0,4,0,1,1,8,4,18,9,17144,0,,8,7,32,14,"0,121739130",0,"0,851441242","0,372505543",3214,164
Qiyana,Kayle,Morgana,Thresh,Pyke,Nautilus,WC,Destiny,Support,Blue,2019-W,Mammoth,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070349?gameHash=17abccc071825cfb&tab=overview,PI-RR,12,0,"0,691796009",16,23,3,-1,"2,022172949",0,"43740,329710648","0,077135368",5562,"147,991130820",0,"0,103897964","123,544124169",0,0,0,0,1,"27,446516667",0,"3,360983333",0,0,"8,318133333",0,1,1,1,"17,613883333",1,1070349,"37,583333333",17,-98,2027,3037,8675,"0,182389937",1,,0,0,76,0,0,0,0,0,13,24,0,0,0,2010,3135,0,2,2824,"9,19",0,5,0,1,1,8,4,18,9,9519,0,,13,12,14,53,"0,460869565",0,"0,372505543","1,410199557",2580,-244
Pantheon,Vladimir,Rakan,Xayah,Lucian,Renekton,WC,BOSS,Top,Red,2019-W,Unicorns of Love,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070349?gameHash=17abccc071825cfb&tab=overview,PI-RR,2,0,"0,691796009",71,119,-4,-1,"7,130820399",3,"43740,329710648","0,214920580",11244,"299,175166297",1,"0,233182185","223,029711752",0,0,0,0,0,"27,446516667",1,"3,360983333",0,0,"8,318133333",0,0,0,0,"17,613883333",1,1070349,"37,583333333",75,73,3317,5360,13150,"0,014708135",0,,3,"0,079822616",268,0,0,0,"0,026607539",1,75,120,4,0,0,3242,5287,1,9,4293,"9,19",0,6,0,0,0,18,0,8,2,13258,0,,7,5,8,16,"0,119402985",0,"0,212860310","0,425720621",4151,-142
Pantheon,Vladimir,Rakan,Xayah,Lucian,Ekko,WC,AHaHaCiK,Jungle,Red,2019-W,Unicorns of Love,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070349?gameHash=17abccc071825cfb&tab=overview,PI-RR,2,0,"0,691796009",55,68,-3,-16,"3,804878049",6,"43740,329710648","0,184261330",9640,"256,496674058",0,"0,148613236","142,142793792",0,0,0,1,0,"27,446516667",0,"3,360983333",0,0,"8,318133333",0,0,0,0,"17,613883333",1,1070349,"37,583333333",474,366,3461,4833,9575,"-0,035897436",0,,2,"0,053215078",33,110,10,72,0,1,58,84,4,0,3,2987,4467,1,9,3171,"9,19",0,7,0,0,0,18,0,8,2,10218,0,,9,7,12,29,"0,216417910",0,"0,319290466","0,771618625",3325,154
Pantheon,Vladimir,Rakan,Xayah,Lucian,Corki,WC,Nomanz,Middle,Red,2019-W,Unicorns of Love,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070349?gameHash=17abccc071825cfb&tab=overview,PI-RR,1,0,"0,691796009",89,151,-6,-5,"9,286031042",3,"43740,329710648","0,339793948",17777,"473,002217295",0,"0,267844326","256,182705100",0,0,0,0,0,"27,446516667",0,"3,360983333",0,0,"8,318133333",0,0,0,0,"17,613883333",1,1070349,"37,583333333",-367,211,3350,5845,13933,"-0,029487678",0,,2,"0,053215078",319,30,4,26,"0,266075388",1,95,156,4,0,1,3717,5634,1,9,4797,"9,19",0,8,0,0,0,18,0,8,2,14504,0,,4,4,21,21,"0,156716418",0,"0,558758315","0,558758315",4593,-204
Pantheon,Vladimir,Rakan,Xayah,Lucian,Kai'Sa,WC,Innaxe,ADC,Red,2019-W,Unicorns of Love,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070349?gameHash=17abccc071825cfb&tab=overview,PI-RR,4,0,"0,691796009",84,134,-9,-17,"9,419068736",2,"43740,329710648","0,206969054",10828,"288,106430155",0,"0,269179626","257,459866962",0,0,0,0,0,"27,446516667",0,"3,360983333",0,0,"8,318133333",0,0,0,0,"17,613883333",1,1070349,"37,583333333",-116,-504,3193,4950,14475,"-0,006884682",0,,1,"0,026607539",303,51,0,49,"0,186252772",1,93,151,4,0,0,3309,5454,1,9,3214,"9,19",0,9,0,0,0,18,0,8,2,14552,0,,3,3,8,14,"0,104477612",0,"0,212860310","0,372505543",3050,-164
